emr,əm
neath,niθ
shun,ʃʌn
twas,twɒz
tween,twin
tween-decks,twin-deks
twere,twɜr
twill,twɪl
twixt,twɪkst
twould,twʊd
un,ən
a,eɪ
a's,eɪz
A-bomb,eɪ-bɒm
A-bombs,eɪ-bɒmz
A-level,eɪ-levl
A-levels,eɪ-levlz
AA,eɪeɪ
ABC,eɪbisi
ABCs,eɪbisiz
AD,eɪdi
AGM,eɪdʒɪem
AIDS,eɪdz
AWOL,eɪwɒl
Aachen,ɑkən
Aarhus,ɑhus
Abe,eɪb
Abercarn,æbəkɑn
Aberdare,æbədeər
Aberdeen,æbədin
Abergavenny,æbəgəvenɪ
Abergele,æbəgelɪ
Abertillery,æbətɪleərɪ
Aberystwyth,æbərɪstwɪθ
Abingdon,æbɪŋdən
Abo,æboʊ
Aborigine,æbərɪdʒənɪ
Aborigines,æbərɪdʒənɪz
Abos,æboʊz
Abraham,eɪbrəhæm
Accra,əkrɑ
Accrington,ækrɪŋtən
Achilles,əkɪliz
Ada,eɪdə
Adam,ædəm
Addis Ababa,ædɪs æbəbə
Addressograph,ədresoʊgrɑf
Addressographs,ədresoʊgrɑfs
Adelaide,ædəleɪd
Adrian,eɪdrɪən
Adventist,ædvəntɪst
Adventists,ædvəntɪsts
Afghan,æfgæn
Afghanistan,æfgænɪstɑn
Afghanistani,æfgænɪstɑnɪ
Afghanistanis,æfgænɪstɑnɪz
Afghans,æfgænz
Africa,æfrɪkə
African,æfrɪkən
Africans,æfrɪkənz
Afrikaans,æfrɪkɑns
Afrikaner,æfrɪkɑnər
Afrikaners,æfrɪkɑnəz
Afro-,æfroʊ-
Afro-American,æfroʊ-əmerɪkən
Afro-Americans,æfroʊ-əmerɪkənz
Afro-Asian,æfroʊ-eɪʃn
Afro-wig,æfroʊ-wɪg
Afro-wigs,æfroʊ-wɪgz
Agatha,ægəθə
Aggie,ægɪ
Agnes,ægnɪs
Agra,ɑgrə
Ahmedabad,ɑmedəbæd
Airdrie,eədrɪ
Aireborough,eəbərə
Airedale,eədeɪl
Airedales,eədeɪlz
Akron,ækrɒn
Al,æl
Alabama,æləbæmə
Alan,ælən
Alaska,əlæskə
Albania,ælbeɪnɪə
Albanian,ælbeɪnɪən
Albanians,ælbeɪnɪənz
Albert,ælbət
Alberta,ælbɜtə
Aldershot,ɔldəʃɒt
Aleppo,əlepoʊ
Alessandria,ælɪsændrɪə
Alex,ælɪks
Alexander,ælɪgzɑndər
Alexandra,ælɪgzɑndrə
Alexandria,ælɪgzɑndrɪə
Alf,ælf
Alfred,ælfrɪd
Alfreton,ɔlfrɪtən
Alger,ældʒər
Algeria,ældʒɪərɪə
Algerian,ældʒɪərɪən
Algerians,ældʒɪərɪənz
Ali,ælɪ
